index;time;month;year;day;Sud;L'Artibonite;Centre;Nippes;Sud-Est;Ouest;HTI;Nord-Est;Nord-Ouest;Nord;Grand'Anse
840;7684;1;1971;15;22.743194993000856;22.486646382187093;21.459273476035296;23.091355862653145;21.858683317464465;4.4181474038020315e+29;5.712879423450801e+29;22.757571085922926;4.19471096904302e+30;22.736556420184264;2.3095342854042384e+30
841;7715;2;1971;15;22.757723505645973;22.550376347461594;21.348284967954275;23.040370299727115;21.51193016891984;4.4181474038020315e+29;5.712879423450801e+29;23.102539548721253;4.19471096904302e+30;23.081561349057907;2.3095342854042384e+30
842;7743;3;1971;15;23.789892758793666;23.45678104298939;22.566233269790676;24.178431891191376;22.946651684582083;4.4181474038020315e+29;5.712879423450801e+29;23.972765832348454;4.19471096904302e+30;23.786026359524335;2.3095342854042384e+30
843;7774;4;1971;15;24.19577168909848;23.635616060321272;22.766233269790675;24.629082872345645;23.28735514351943;4.4181474038020315e+29;5.712879423450801e+29;24.200377195150374;4.19471096904302e+30;23.8957665525163;2.3095342854042384e+30
844;7804;5;1971;15;24.76287755610591;24.539378417995252;23.583459577972434;25.23102061031008;23.868386671074983;4.4181474038020315e+29;5.712879423450801e+29;24.908654939401302;4.19471096904302e+30;24.663037482352287;2.3095342854042384e+30
845;7835;6;1971;15;26.18989210052898;25.861439729940248;24.842720351067904;26.60241785009467;25.11193016891984;4.4181474038020315e+29;5.712879423450801e+29;26.517352090074326;4.19471096904302e+30;26.301041735041828;2.3095342854042384e+30
846;7865;7;1971;15;25.989891442264287;25.69338959881373;24.612969632244397;26.423758133537923;24.98735514351943;4.4181474038020315e+29;5.712879423450801e+29;26.208692140750944;4.19471096904302e+30;25.98505353405389;2.3095342854042384e+30
847;7896;8;1971;15;25.842471429685368;25.94287362049028;24.84180650330199;26.364465400462233;24.947908446329123;4.4181474038020315e+29;5.712879423450801e+29;26.508692140750945;4.19471096904302e+30;26.285053534053887;2.3095342854042384e+30
848;7927;9;1971;15;25.975365562677936;25.79255789471756;24.81901557823386;26.46837664970417;25.18325834286488;4.4181474038020315e+29;5.712879423450801e+29;26.340787379401146;4.19471096904302e+30;26.01202100895714;2.3095342854042384e+30
849;7957;10;1971;15;24.936586574998337;24.633732238510415;23.500685886154194;25.374520641949438;23.843558655120187;4.4181474038020315e+29;5.712879423450801e+29;24.63611231515069;4.19471096904302e+30;24.546562868629124;2.3095342854042384e+30
850;7988;11;1971;15;24.56948268278498;24.260769869428476;23.206491167592112;24.96334712725066;23.66278011811901;4.4181474038020315e+29;5.712879423450801e+29;24.472383627276;4.19471096904302e+30;24.304800175490705;2.3095342854042384e+30
851;8018;12;1971;15;23.54319367647147;23.290408688252903;22.24631654673073;23.924466071033528;22.423845180564342;4.4181474038020315e+29;5.712879423450801e+29;23.165811628824216;4.19471096904302e+30;23.198065754759504;2.3095342854042384e+30
852;8049;1;1972;15;23.263599802892017;22.71112951515105;21.694207421501908;23.59124433539589;22.199386776401816;4.4181474038020315e+29;5.712879423450801e+29;22.52540144457344;4.19471096904302e+30;22.598065754759503;2.3095342854042384e+30
853;8080;2;1972;15;23.26360243595078;22.830139780370978;21.88345957797243;23.594224592627704;22.271226709982493;4.4181474038020315e+29;5.712879423450801e+29;22.993805196698595;4.19471096904302e+30;22.90528658822593;2.3095342854042384e+30
854;8109;3;1972;15;23.41618110684248;23.071219234815814;22.25975480513839;23.844279163543618;22.67059832910897;4.4181474038020315e+29;5.712879423450801e+29;23.376867503124277;4.19471096904302e+30;23.18951854452032;2.3095342854042384e+30
855;8140;4;1972;15;24.895771030833792;24.2761427622574;23.459754805138388;25.33217465683471;24.086726762645903;4.4181474038020315e+29;5.712879423450801e+29;24.698098055876592;4.19471096904302e+30;24.389518544520314;2.3095342854042384e+30
856;8170;5;1972;15;25.53658657499834;24.842202944347036;23.91321029679594;25.940964324540033;24.484515104611923;4.4181474038020315e+29;5.712879423450801e+29;25.30451606727584;4.19471096904302e+30;25.037529245654717;2.3095342854042384e+30
857;8201;6;1972;15;25.795773663892557;25.713289959493714;24.76018732380121;26.280369629155818;24.895801735382904;4.4181474038020315e+29;5.712879423450801e+29;26.174662766549776;4.19471096904302e+30;25.978539270605005;2.3095342854042384e+30
858;8231;7;1972;15;26.869478733196832;25.830638202883428;25.119307371204957;27.278431891191378;25.986726762645908;4.4181474038020315e+29;5.712879423450801e+29;25.94674878302866;4.19471096904302e+30;25.63477342265471;2.3095342854042384e+30
859;8262;8;1972;15;27.016175182460266;25.893332395598744;25.195361933819367;27.44118737905455;26.147280065455597;4.4181474038020315e+29;5.712879423450801e+29;26.05954760447751;4.19471096904302e+30;25.792524316781073;2.3095342854042384e+30
860;8293;9;1972;15;26.695768397775023;25.745350702553438;25.001167215257286;27.14118737905455;25.88325834286488;4.4181474038020315e+29;5.712879423450801e+29;25.90219972665242;4.19471096904302e+30;25.609265185957135;2.3095342854042384e+30
861;8323;10;1972;15;26.095770372569095;25.534183867854264;24.700926550705738;26.5412989063118;25.262780118119014;4.4181474038020315e+29;5.712879423450801e+29;25.765965615876752;4.19471096904302e+30;25.524280561474626;2.3095342854042384e+30
