index;time;month;year;day;ATG;Redonda;Saint_Paul;Saint_Mary;Saint_Philip;Saint_Peter;Saint_John;Saint_George;Barbuda
185;-12253;6;1916;15;6.97270936355577e+33;202.0;6.544403994150141e+34;192.60000000000002;192.60000000000002;192.60000000000002;192.60000000000002;192.60000000000002;2.9725746036271033e+31
186;-12223;7;1916;15;6.97270936355577e+33;278.1;6.544403994150141e+34;251.4;251.4;251.4;251.4;251.4;2.9725746036271033e+31
187;-12192;8;1916;15;6.97270936355577e+33;341.40000000000003;6.544403994150141e+34;304.0;304.0;304.0;304.0;304.0;2.9725746036271033e+31
188;-12161;9;1916;15;6.97270936355577e+33;420.0;6.544403994150141e+34;369.1;369.1;369.1;369.1;369.1;2.9725746036271033e+31
189;-12131;10;1916;15;6.97270936355577e+33;318.8;6.544403994150141e+34;290.7;290.7;290.7;290.7;290.7;2.9725746036271033e+31
190;-12100;11;1916;15;6.97270936355577e+33;344.3;6.544403994150141e+34;317.8;317.8;317.8;317.8;317.8;2.9725746036271033e+31
191;-12070;12;1916;15;6.97270936355577e+33;179.70000000000002;6.544403994150141e+34;178.8;178.8;178.8;178.8;178.8;2.9725746036271033e+31
192;-12039;1;1917;15;6.97270936355577e+33;130.9;6.544403994150141e+34;130.3;130.3;130.3;130.3;130.3;2.9725746036271033e+31
193;-12008;2;1917;15;6.97270936355577e+33;110.7;6.544403994150141e+34;107.2;107.2;107.2;107.2;107.2;2.9725746036271033e+31
194;-11980;3;1917;15;6.97270936355577e+33;89.0;6.544403994150141e+34;93.2;93.2;93.2;93.2;93.2;2.9725746036271033e+31
195;-11949;4;1917;15;6.97270936355577e+33;152.9;6.544403994150141e+34;149.9;149.9;149.9;149.9;149.9;2.9725746036271033e+31
196;-11919;5;1917;15;6.97270936355577e+33;256.5;6.544403994150141e+34;238.60000000000002;238.60000000000002;238.60000000000002;238.60000000000002;238.60000000000002;2.9725746036271033e+31
197;-11888;6;1917;15;6.97270936355577e+33;205.3;6.544403994150141e+34;195.10000000000002;195.10000000000002;195.10000000000002;195.10000000000002;195.10000000000002;2.9725746036271033e+31
198;-11858;7;1917;15;6.97270936355577e+33;266.5;6.544403994150141e+34;242.60000000000002;242.60000000000002;242.60000000000002;242.60000000000002;242.60000000000002;2.9725746036271033e+31
