index;time;month;year;day;Princes_Town;Penal-Debe;Port_of_Spain;Chaguanas;Point_Fortin;San_Juan-Laventille;Diego_Martin;Tobago;Arima;Couva-Tabaquite-Talparo;Siparia;TTO;San_Fernando;Tunapuna/Piarco;Sangre_Grande;Mayaro/Rio_Claro
1075;14836;8;1990;15;27.400000000000002;27.41873209436187;27.557420720031153;27.100195402175427;27.900000000000002;27.109200144863635;27.592990063671333;1.7090629194463591e+34;27.1;27.334255323910913;27.874007075016202;1.700103585635717e+35;27.400485983321072;27.1;8.27597870505608e+35;1.2900626098844994e+35
1076;14867;9;1990;15;28.400000000000002;28.414985675489497;28.648904864037387;28.100195402175427;28.8;28.11104017383636;28.6915880764056;1.7090629194463591e+34;28.1;28.33425532391091;28.779205660012963;1.700103585635717e+35;28.40038878665686;28.1;8.27597870505608e+35;1.2900626098844994e+35
1077;14897;10;1990;15;28.0;28.018732094361866;28.240389008043614;27.600260536233904;28.5;27.612880202809087;28.290186089139866;1.7090629194463591e+34;27.6;27.912340431881216;28.474007075016203;1.700103585635717e+35;28.000485983321074;27.6;8.27597870505608e+35;1.2900626098844994e+35
1078;14928;11;1990;15;27.400000000000002;27.414985675489497;27.648904864037387;27.100195402175427;27.8;27.11104017383636;27.6915880764056;1.7090629194463591e+34;27.1;27.334255323910913;27.779205660012963;1.700103585635717e+35;27.40038878665686;27.1;8.27597870505608e+35;1.2900626098844994e+35
1079;14958;12;1990;15;26.5;26.51123925661712;26.748904864037385;26.20019540217543;26.8;26.211040173836366;26.791588076405603;1.7090629194463591e+34;26.200000000000003;26.43425532391091;26.78440424500972;1.700103585635717e+35;26.500291589992642;26.200000000000003;8.27597870505608e+35;1.2900626098844994e+35
1080;14989;1;1991;15;25.0;25.02247851323424;25.331873152049845;24.600260536233904;25.6;24.614720231781817;25.388784101874137;1.7090629194463591e+34;24.6;24.912340431881216;25.568808490019446;1.700103585635717e+35;25.000583179985288;24.6;8.27597870505608e+35;1.2900626098844994e+35
1081;15020;2;1991;15;25.3;25.318732094361867;25.806325584068535;24.80032567029238;25.8;24.820240318699994;25.884578140076936;1.7090629194463591e+34;24.8;25.190425539851518;25.774007075016204;1.700103585635717e+35;25.300485983321074;24.8;8.27597870505608e+35;1.2900626098844994e+35
1082;15048;3;1991;15;25.700000000000003;25.726224932106618;26.289293872080997;25.10039080435085;26.400000000000002;25.123920376645447;26.38177416554547;1.7090629194463591e+34;25.1;25.568510647821824;26.363609905022688;1.700103585635717e+35;25.700680376649505;25.1;8.27597870505608e+35;1.2900626098844994e+35
1083;15079;4;1991;15;26.1;26.122478513234242;27.05523044810592;25.500390804350854;26.700000000000003;25.531280492536357;27.176166216482535;1.7090629194463591e+34;25.5;25.968510647821823;26.668808490019444;1.700103585635717e+35;26.10058317998529;25.5;8.27597870505608e+35;1.2900626098844994e+35
1084;15109;5;1991;15;27.1;27.122478513234242;27.780778016087226;26.500390804350854;27.700000000000003;26.525760405618175;27.880372178279735;1.7090629194463591e+34;26.5;26.96851064782182;27.668808490019448;1.700103585635717e+35;27.10058317998529;26.5;8.27597870505608e+35;1.2900626098844994e+35
1085;15140;6;1991;15;26.8;26.829971350978987;27.314841440062306;26.400260536233905;27.6;26.41840028972727;27.38598012734267;1.7090629194463591e+34;26.400000000000002;26.712340431881216;27.558411320025925;1.700103585635717e+35;26.800777573313717;26.400000000000002;8.27597870505608e+35;1.2900626098844994e+35
1086;15170;7;1991;15;26.3;26.318732094361867;27.172262160093457;25.80032567029238;26.8;25.827600434590902;27.278970191014;1.7090629194463591e+34;25.8;26.190425539851518;26.774007075016204;1.700103585635717e+35;26.300485983321074;25.8;8.27597870505608e+35;1.2900626098844994e+35
1087;15201;8;1991;15;26.0;26.014985675489495;26.780778016087226;25.50032567029238;26.400000000000002;25.525760405618175;26.880372178279735;1.7090629194463591e+34;25.5;25.890425539851513;26.379205660012964;1.700103585635717e+35;26.00038878665686;25.5;8.27597870505608e+35;1.2900626098844994e+35
1088;15232;9;1991;15;26.3;26.31123925661712;26.431873152049846;25.700390804350857;26.6;25.714720231781815;26.488784101874135;1.7090629194463591e+34;25.700000000000003;26.168510647821822;26.584404245009722;1.700103585635717e+35;26.300291589992646;25.700000000000003;8.27597870505608e+35;1.2900626098844994e+35
