index;time;month;year;day;Salt_Cay;Grand_Turk;South_Caicos_and_East_Caicos;Middle_Caicos;Providenciales_and_West_Caicos;North_Caicos;TCA
1156;17301;5;1997;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;128.70000000000002;122.10000000000001;126.96864735955117;9.099276877448907e+35
1157;17332;6;1997;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;155.3;206.3;168.67863403983185;9.099276877448907e+35
1158;17362;7;1997;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;101.2;91.10000000000001;98.550505807798;9.099276877448907e+35
1159;17393;8;1997;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;156.0;195.20000000000002;166.28318537963543;9.099276877448907e+35
1160;17424;9;1997;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;177.70000000000002;161.5;173.45031624617107;9.099276877448907e+35
1161;17454;10;1997;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;173.70000000000002;168.8;172.41460182754557;9.099276877448907e+35
1162;17485;11;1997;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;75.4;71.4;74.35069536942495;9.099276877448907e+35
1163;17515;12;1997;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;50.900000000000006;40.400000000000006;48.14557534474051;9.099276877448907e+35
1164;17546;1;1998;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;55.1;47.300000000000004;53.05385597037866;9.099276877448907e+35
1165;17577;2;1998;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;86.2;85.9;86.12130215270687;9.099276877448907e+35
1166;17605;3;1998;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;157.20000000000002;177.5;162.52522100016836;9.099276877448907e+35
1167;17636;4;1998;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;66.10000000000001;52.6;62.55859687180922;9.099276877448907e+35
1168;17666;5;1998;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;122.5;101.7;117.04361592100976;9.099276877448907e+35
1169;17697;6;1998;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;86.9;73.8;83.46352733486671;9.099276877448907e+35
1170;17727;7;1998;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;180.10000000000002;193.3;183.56270528089766;9.099276877448907e+35
1171;17758;8;1998;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;131.1;128.5;130.4179519901262;9.099276877448907e+35
1172;17789;9;1998;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;157.70000000000002;168.20000000000002;160.45442465525952;9.099276877448907e+35
1173;17819;10;1998;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;145.20000000000002;150.20000000000002;146.5116307882188;9.099276877448907e+35
1174;17850;11;1998;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;84.9;77.2;82.88008858614303;9.099276877448907e+35
1175;17880;12;1998;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;67.3;58.800000000000004;65.07022766002802;9.099276877448907e+35
1176;17911;1;1999;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;39.800000000000004;29.8;37.176738423562384;9.099276877448907e+35
1177;17942;2;1999;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;35.2;27.1;33.07515812308553;9.099276877448907e+35
1178;17970;3;1999;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;38.1;30.900000000000002;36.21125166496492;9.099276877448907e+35
1179;18001;4;1999;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;66.2;52.800000000000004;62.684829487573595;9.099276877448907e+35
1180;18031;5;1999;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;139.4;122.60000000000001;134.9929205515848;9.099276877448907e+35
1181;18062;6;1999;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;87.80000000000001;75.0;84.44222518215986;9.099276877448907e+35
1182;18092;7;1999;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;87.80000000000001;78.80000000000001;85.43906458120615;9.099276877448907e+35
1183;18123;8;1999;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;82.2;67.0;78.21264240381483;9.099276877448907e+35
1184;18154;9;1999;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;96.60000000000001;81.80000000000001;92.71757286687233;9.099276877448907e+35
1185;18184;10;1999;15;9.969209968386869e+36;9.969209968386869e+36;2.4324860383145173e+36;82.9;70.60000000000001;79.67338826098174;9.099276877448907e+35
