index;time;month;year;day;Christ_Church;Saint_James;Saint_Philip;Saint_Peter;Saint_John;Saint_George;Saint_Andrew;Saint_Lucy;Saint_Joseph;Saint_Michael;BRB;Saint_Thomas
375;-6470;4;1932;15;25.774303480110095;25.8;25.607464515173366;25.8;25.717643673880637;25.8;25.8;25.8;25.8;25.8;25.76207121417645;25.8
376;-6440;5;1932;15;26.64860696022019;26.700000000000003;26.314929030346732;26.700000000000003;26.535287347761273;26.700000000000003;26.700000000000003;26.700000000000003;26.700000000000003;26.700000000000003;26.624142428352897;26.700000000000003
377;-6409;6;1932;15;26.73575870027523;26.8;26.318661287933416;26.8;26.594109184701587;26.8;26.8;26.8;26.8;26.8;26.705178035441122;26.8
378;-6379;7;1932;15;26.448606960220186;26.5;26.114929030346733;26.5;26.335287347761273;26.5;26.5;26.5;26.5;26.5;26.424142428352894;26.5
379;-6348;8;1932;15;26.748606960220183;26.8;26.414929030346734;26.8;26.63528734776127;26.8;26.8;26.8;26.8;26.8;26.7241424283529;26.8
380;-6317;9;1932;15;26.86145522016514;26.900000000000002;26.611196772760053;26.900000000000002;26.776465510820955;26.900000000000002;26.900000000000002;26.900000000000002;26.900000000000002;26.900000000000002;26.843106821264673;26.900000000000002
381;-6287;10;1932;15;26.574303480110093;26.6;26.407464515173366;26.6;26.517643673880638;26.6;26.6;26.6;26.6;26.6;26.56207121417645;26.6
382;-6256;11;1932;15;26.36145522016514;26.400000000000002;26.111196772760053;26.400000000000002;26.276465510820955;26.400000000000002;26.400000000000002;26.400000000000002;26.400000000000002;26.400000000000002;26.343106821264676;26.400000000000002
383;-6226;12;1932;15;25.574303480110093;25.6;25.40746451517337;25.6;25.517643673880634;25.6;25.6;25.6;25.6;25.6;25.562071214176452;25.6
384;-6195;1;1933;15;24.68715174005505;24.700000000000003;24.603732257586685;24.700000000000003;24.65882183694032;24.700000000000003;24.700000000000003;24.700000000000003;24.700000000000003;24.700000000000003;24.681035607088226;24.700000000000003
385;-6164;2;1933;15;24.300000000000004;24.3;24.3;24.3;24.3;24.3;24.3;24.3;24.3;24.3;24.300000000000004;24.3
386;-6136;3;1933;15;24.88715174005505;24.900000000000002;24.803732257586685;24.900000000000002;24.85882183694032;24.900000000000002;24.900000000000002;24.900000000000002;24.900000000000002;24.900000000000002;24.881035607088226;24.900000000000002
387;-6105;4;1933;15;25.674303480110098;25.700000000000003;25.507464515173368;25.700000000000003;25.617643673880636;25.700000000000003;25.700000000000003;25.700000000000003;25.700000000000003;25.700000000000003;25.662071214176454;25.700000000000003
388;-6075;5;1933;15;26.548606960220187;26.6;26.214929030346735;26.6;26.435287347761275;26.6;26.6;26.6;26.6;26.6;26.5241424283529;26.6
389;-6044;6;1933;15;26.53575870027523;26.6;26.118661287933417;26.6;26.39410918470159;26.6;26.6;26.6;26.6;26.6;26.50517803544112;26.6
390;-6014;7;1933;15;26.14860696022019;26.200000000000003;25.814929030346736;26.200000000000003;26.035287347761273;26.200000000000003;26.200000000000003;26.200000000000003;26.200000000000003;26.200000000000003;26.1241424283529;26.200000000000003
391;-5983;8;1933;15;26.36145522016514;26.400000000000002;26.111196772760053;26.400000000000002;26.276465510820955;26.400000000000002;26.400000000000002;26.400000000000002;26.400000000000002;26.400000000000002;26.343106821264676;26.400000000000002
392;-5952;9;1933;15;26.36145522016514;26.400000000000002;26.111196772760053;26.400000000000002;26.276465510820955;26.400000000000002;26.400000000000002;26.400000000000002;26.400000000000002;26.400000000000002;26.343106821264676;26.400000000000002
393;-5922;10;1933;15;26.274303480110092;26.3;26.10746451517337;26.3;26.217643673880637;26.3;26.3;26.3;26.3;26.3;26.26207121417645;26.3
394;-5891;11;1933;15;25.961455220165142;26.0;25.711196772760054;26.0;25.876465510820953;26.0;26.0;26.0;26.0;26.0;25.943106821264674;26.0
395;-5861;12;1933;15;25.074303480110093;25.1;24.907464515173366;25.1;25.017643673880638;25.1;25.1;25.1;25.1;25.1;25.06207121417645;25.1
396;-5830;1;1934;15;24.200000000000003;24.200000000000003;24.200000000000003;24.200000000000003;24.200000000000003;24.200000000000003;24.200000000000003;24.200000000000003;24.200000000000003;24.200000000000003;24.200000000000006;24.200000000000003
397;-5799;2;1934;15;24.100000000000005;24.1;24.1;24.1;24.1;24.1;24.1;24.1;24.1;24.1;24.100000000000005;24.1
