index;time;month;year;day;Christ_Church;Saint_James;Saint_Philip;Saint_Peter;Saint_John;Saint_George;Saint_Andrew;Saint_Lucy;Saint_Joseph;Saint_Michael;BRB;Saint_Thomas
1236;19737;1;2004;15;100.30649282711929;97.30000000000001;119.8266517247161;97.30000000000001;106.93569015596566;97.30000000000001;97.30000000000001;97.30000000000001;97.30000000000001;97.30000000000001;101.73766794135565;97.30000000000001
1237;19768;2;2004;15;98.19426637102752;96.10000000000001;111.79164201337062;96.10000000000001;102.81204057872822;96.10000000000001;96.10000000000001;96.10000000000001;96.10000000000001;96.10000000000001;99.19119604461955;96.10000000000001
1238;19797;3;2004;15;117.1580473367523;116.4;122.0797968023857;116.4;118.82951162052126;116.4;116.4;116.4;116.4;116.4;117.51889918179481;116.4
1239;19828;4;2004;15;260.1168538716514;253.5;303.07788734285805;253.5;274.7067539757364;253.5;253.5;253.5;253.5;253.5;263.2666623495648;253.5
1240;19858;5;2004;15;551.6786079559633;541.4;618.4141939306534;541.4;574.3425304477458;541.4;541.4;541.4;541.4;541.4;556.571514329421;541.4
1241;19889;6;2004;15;261.5797141693762;259.1;277.67967428577015;259.1;267.0473854705187;259.1;259.1;259.1;259.1;259.1;262.76012783197285;259.1
1242;19919;7;2004;15;252.7102236502386;255.10000000000002;237.1941999111231;255.10000000000002;247.4408616708991;255.10000000000002;255.10000000000002;255.10000000000002;255.10000000000002;255.10000000000002;251.57262291840965;255.10000000000002
1243;19950;8;2004;15;183.19597031273398;181.5;194.2073419985578;181.5;186.93551752387805;181.5;181.5;181.5;181.5;181.5;184.0032998643545;181.5
1244;19981;9;2004;15;192.41006218038532;192.5;191.8261258031068;192.5;192.2117528585822;192.5;192.5;192.5;192.5;192.5;192.36724924961757;192.5
1245;20011;10;2004;15;191.11238792594494;192.5;182.1030838193618;192.5;188.0527583895543;192.5;192.5;192.5;192.5;192.5;190.45184556552817;192.5
1246;20042;11;2004;15;615.2679480472846;612.3000000000001;634.5378484974763;612.3000000000001;621.8121556667868;612.3000000000001;612.3000000000001;612.3000000000001;612.3000000000001;612.3000000000001;616.6807747626204;612.3000000000001
1247;20072;12;2004;15;180.9478236865138;177.8;201.3855968912626;177.8;187.88864994962216;177.8;177.8;177.8;177.8;177.8;182.4462762633852;177.8
1248;20103;1;2005;15;377.93108313359636;367.1;448.253706854426;367.1;401.8131914593122;367.1;367.1;367.1;367.1;367.1;383.0869832246274;367.1
1249;20134;2;2005;15;55.78049744308257;56.5;51.10900642485427;56.5;54.1940228686578;56.5;56.5;56.5;56.5;56.5;55.437993996940534;56.5
1250;20162;3;2005;15;39.26640557543119;38.2;46.19022262030528;38.2;41.61778753395363;38.2;38.2;38.2;38.2;38.2;39.77404461167743;38.2
1251;20193;4;2005;15;41.463619495871555;40.5;47.72008068099875;40.5;43.588362229476175;40.5;40.5;40.5;40.5;40.5;41.922329468383225;40.5
1252;20223;5;2005;15;221.7238311083303;219.0;239.40876139162316;219.0;227.72977056865267;219.0;219.0;219.0;219.0;219.0;223.02045129729657;219.0
1253;20254;6;2005;15;405.6953485088808;403.1;422.54608396749;403.1;411.4179889380558;403.1;403.1;403.1;403.1;403.1;406.9308073681789;403.1
1254;20284;7;2005;15;210.49442784088077;210.70000000000002;209.15971612138694;210.70000000000002;210.0411493910451;210.70000000000002;210.70000000000002;210.70000000000002;210.70000000000002;210.70000000000002;210.39656971341162;210.70000000000002
