index;time;month;year;day;Saint_Anthon;Saint_Peter;MSR;Saint_Georges
146;-13441;3;1913;15;142.0;142.0;142.0;142.0
147;-13410;4;1913;15;181.10000000000002;181.10000000000002;181.10000000000002;181.10000000000002
148;-13380;5;1913;15;177.9;177.9;177.9;177.9
149;-13349;6;1913;15;168.60000000000002;168.60000000000002;168.60000000000002;168.60000000000002
150;-13319;7;1913;15;179.3;179.3;179.3;179.3
151;-13288;8;1913;15;183.70000000000002;183.70000000000002;183.70000000000002;183.70000000000002
152;-13257;9;1913;15;268.40000000000003;268.40000000000003;268.40000000000003;268.40000000000003
153;-13227;10;1913;15;413.1;413.1;413.1;413.1
154;-13196;11;1913;15;284.0;284.0;284.0;284.0
155;-13166;12;1913;15;181.20000000000002;181.20000000000002;181.20000000000002;181.20000000000002
156;-13135;1;1914;15;130.9;130.9;130.9;130.9
157;-13104;2;1914;15;179.0;179.0;179.0;179.0
158;-13076;3;1914;15;129.6;129.6;129.6;129.6
159;-13045;4;1914;15;143.20000000000002;143.20000000000002;143.20000000000002;143.20000000000002
160;-13015;5;1914;15;314.70000000000005;314.70000000000005;314.70000000000005;314.70000000000005
161;-12984;6;1914;15;174.5;174.5;174.5;174.5
162;-12954;7;1914;15;170.4;170.4;170.4;170.4
163;-12923;8;1914;15;230.3;230.3;230.3;230.3
164;-12892;9;1914;15;238.20000000000002;238.20000000000002;238.20000000000002;238.20000000000002
165;-12862;10;1914;15;238.3;238.3;238.3;238.3
166;-12831;11;1914;15;296.40000000000003;296.40000000000003;296.40000000000003;296.40000000000003
167;-12801;12;1914;15;268.8;268.8;268.8;268.8
168;-12770;1;1915;15;175.0;175.0;175.0;175.0
169;-12739;2;1915;15;153.60000000000002;153.60000000000002;153.60000000000002;153.60000000000002
170;-12711;3;1915;15;117.10000000000001;117.10000000000001;117.10000000000001;117.10000000000001
171;-12680;4;1915;15;221.20000000000002;221.20000000000002;221.20000000000002;221.20000000000002
172;-12650;5;1915;15;186.10000000000002;186.10000000000002;186.10000000000002;186.10000000000002
173;-12619;6;1915;15;194.8;194.8;194.8;194.8
174;-12589;7;1915;15;229.0;229.0;229.0;229.0
175;-12558;8;1915;15;202.0;202.0;202.0;202.0
176;-12527;9;1915;15;278.2;278.2;278.2;278.2
177;-12497;10;1915;15;272.8;272.8;272.8;272.8
178;-12466;11;1915;15;384.3;384.3;384.3;384.3
179;-12436;12;1915;15;206.70000000000002;206.70000000000002;206.70000000000002;206.70000000000002
180;-12405;1;1916;15;166.0;166.0;166.0;166.0
181;-12374;2;1916;15;132.20000000000002;132.20000000000002;132.20000000000002;132.20000000000002
182;-12345;3;1916;15;78.4;78.4;78.4;78.4
183;-12314;4;1916;15;165.5;165.5;165.5;165.5
184;-12284;5;1916;15;191.60000000000002;191.60000000000002;191.60000000000002;191.60000000000002
185;-12253;6;1916;15;202.0;202.0;202.0;202.0
186;-12223;7;1916;15;278.1;278.1;278.1;278.1
187;-12192;8;1916;15;341.40000000000003;341.40000000000003;341.40000000000003;341.40000000000003
188;-12161;9;1916;15;420.0;420.0;420.0;420.0
189;-12131;10;1916;15;318.8;318.8;318.8;318.8
190;-12100;11;1916;15;344.3;344.3;344.3;344.3
191;-12070;12;1916;15;179.70000000000002;179.70000000000002;179.70000000000002;179.70000000000002
192;-12039;1;1917;15;130.9;130.9;130.9;130.9
193;-12008;2;1917;15;110.7;110.7;110.7;110.7
194;-11980;3;1917;15;89.0;89.0;89.0;89.0
195;-11949;4;1917;15;152.9;152.9;152.9;152.9
196;-11919;5;1917;15;256.5;256.5;256.5;256.5
197;-11888;6;1917;15;205.3;205.3;205.3;205.3
198;-11858;7;1917;15;266.5;266.5;266.5;266.5
199;-11827;8;1917;15;221.8;221.8;221.8;221.8
200;-11796;9;1917;15;287.3;287.3;287.3;287.3
201;-11766;10;1917;15;213.60000000000002;213.60000000000002;213.60000000000002;213.60000000000002
202;-11735;11;1917;15;362.6;362.6;362.6;362.6
203;-11705;12;1917;15;200.10000000000002;200.10000000000002;200.10000000000002;200.10000000000002
204;-11674;1;1918;15;159.5;159.5;159.5;159.5
205;-11643;2;1918;15;116.30000000000001;116.30000000000001;116.30000000000001;116.30000000000001
206;-11615;3;1918;15;94.0;94.0;94.0;94.0
207;-11584;4;1918;15;141.0;141.0;141.0;141.0
208;-11554;5;1918;15;164.70000000000002;164.70000000000002;164.70000000000002;164.70000000000002
209;-11523;6;1918;15;185.0;185.0;185.0;185.0
210;-11493;7;1918;15;206.20000000000002;206.20000000000002;206.20000000000002;206.20000000000002
211;-11462;8;1918;15;173.10000000000002;173.10000000000002;173.10000000000002;173.10000000000002
212;-11431;9;1918;15;278.2;278.2;278.2;278.2
213;-11401;10;1918;15;249.3;249.3;249.3;249.3
214;-11370;11;1918;15;306.90000000000003;306.90000000000003;306.90000000000003;306.90000000000003
215;-11340;12;1918;15;227.9;227.9;227.9;227.9
216;-11309;1;1919;15;135.0;135.0;135.0;135.0
217;-11278;2;1919;15;104.4;104.4;104.4;104.4
218;-11250;3;1919;15;109.0;109.0;109.0;109.0
219;-11219;4;1919;15;236.0;236.0;236.0;236.0
220;-11189;5;1919;15;158.8;158.8;158.8;158.8
221;-11158;6;1919;15;219.70000000000002;219.70000000000002;219.70000000000002;219.70000000000002
222;-11128;7;1919;15;324.3;324.3;324.3;324.3
223;-11097;8;1919;15;177.10000000000002;177.10000000000002;177.10000000000002;177.10000000000002
224;-11066;9;1919;15;424.5;424.5;424.5;424.5
225;-11036;10;1919;15;265.40000000000003;265.40000000000003;265.40000000000003;265.40000000000003
226;-11005;11;1919;15;306.90000000000003;306.90000000000003;306.90000000000003;306.90000000000003
227;-10975;12;1919;15;220.60000000000002;220.60000000000002;220.60000000000002;220.60000000000002
228;-10944;1;1920;15;215.9;215.9;215.9;215.9
229;-10913;2;1920;15;150.4;150.4;150.4;150.4
230;-10884;3;1920;15;145.20000000000002;145.20000000000002;145.20000000000002;145.20000000000002
231;-10853;4;1920;15;114.30000000000001;114.30000000000001;114.30000000000001;114.30000000000001
232;-10823;5;1920;15;150.70000000000002;150.70000000000002;150.70000000000002;150.70000000000002
233;-10792;6;1920;15;152.9;152.9;152.9;152.9
234;-10762;7;1920;15;211.10000000000002;211.10000000000002;211.10000000000002;211.10000000000002
235;-10731;8;1920;15;244.10000000000002;244.10000000000002;244.10000000000002;244.10000000000002
236;-10700;9;1920;15;263.90000000000003;263.90000000000003;263.90000000000003;263.90000000000003
237;-10670;10;1920;15;282.0;282.0;282.0;282.0
238;-10639;11;1920;15;265.0;265.0;265.0;265.0
239;-10609;12;1920;15;197.20000000000002;197.20000000000002;197.20000000000002;197.20000000000002
240;-10578;1;1921;15;223.3;223.3;223.3;223.3
241;-10547;2;1921;15;146.5;146.5;146.5;146.5
242;-10519;3;1921;15;135.8;135.8;135.8;135.8
243;-10488;4;1921;15;174.4;174.4;174.4;174.4
244;-10458;5;1921;15;171.60000000000002;171.60000000000002;171.60000000000002;171.60000000000002
245;-10427;6;1921;15;155.5;155.5;155.5;155.5
246;-10397;7;1921;15;350.3;350.3;350.3;350.3
247;-10366;8;1921;15;224.4;224.4;224.4;224.4
248;-10335;9;1921;15;328.70000000000005;328.70000000000005;328.70000000000005;328.70000000000005
249;-10305;10;1921;15;282.0;282.0;282.0;282.0
250;-10274;11;1921;15;241.4;241.4;241.4;241.4
251;-10244;12;1921;15;184.10000000000002;184.10000000000002;184.10000000000002;184.10000000000002
252;-10213;1;1922;15;208.5;208.5;208.5;208.5
253;-10182;2;1922;15;152.0;152.0;152.0;152.0
254;-10154;3;1922;15;143.9;143.9;143.9;143.9
255;-10123;4;1922;15;144.70000000000002;144.70000000000002;144.70000000000002;144.70000000000002
256;-10093;5;1922;15;158.4;158.4;158.4;158.4
257;-10062;6;1922;15;141.1;141.1;141.1;141.1
258;-10032;7;1922;15;228.20000000000002;228.20000000000002;228.20000000000002;228.20000000000002
259;-10001;8;1922;15;235.60000000000002;235.60000000000002;235.60000000000002;235.60000000000002
260;-9970;9;1922;15;249.5;249.5;249.5;249.5
261;-9940;10;1922;15;275.1;275.1;275.1;275.1
262;-9909;11;1922;15;232.9;232.9;232.9;232.9
263;-9879;12;1922;15;255.60000000000002;255.60000000000002;255.60000000000002;255.60000000000002
264;-9848;1;1923;15;138.20000000000002;138.20000000000002;138.20000000000002;138.20000000000002
265;-9817;2;1923;15;101.2;101.2;101.2;101.2
266;-9789;3;1923;15;94.60000000000001;94.60000000000001;94.60000000000001;94.60000000000001
267;-9758;4;1923;15;181.8;181.8;181.8;181.8
268;-9728;5;1923;15;148.8;148.8;148.8;148.8
269;-9697;6;1923;15;219.70000000000002;219.70000000000002;219.70000000000002;219.70000000000002
270;-9667;7;1923;15;193.20000000000002;193.20000000000002;193.20000000000002;193.20000000000002
271;-9636;8;1923;15;216.5;216.5;216.5;216.5
272;-9605;9;1923;15;240.5;240.5;240.5;240.5
273;-9575;10;1923;15;325.20000000000005;325.20000000000005;325.20000000000005;325.20000000000005
274;-9544;11;1923;15;305.6;305.6;305.6;305.6
275;-9514;12;1923;15;157.10000000000002;157.10000000000002;157.10000000000002;157.10000000000002
276;-9483;1;1924;15;145.6;145.6;145.6;145.6
277;-9452;2;1924;15;158.70000000000002;158.70000000000002;158.70000000000002;158.70000000000002
278;-9423;3;1924;15;105.9;105.9;105.9;105.9
279;-9392;4;1924;15;165.5;165.5;165.5;165.5
280;-9362;5;1924;15;182.0;182.0;182.0;182.0
281;-9331;6;1924;15;187.60000000000002;187.60000000000002;187.60000000000002;187.60000000000002
282;-9301;7;1924;15;192.4;192.4;192.4;192.4
283;-9270;8;1924;15;275.6;275.6;275.6;275.6
284;-9239;9;1924;15;209.60000000000002;209.60000000000002;209.60000000000002;209.60000000000002
285;-9209;10;1924;15;231.4;231.4;231.4;231.4
286;-9178;11;1924;15;380.3;380.3;380.3;380.3
287;-9148;12;1924;15;203.10000000000002;203.10000000000002;203.10000000000002;203.10000000000002
288;-9117;1;1925;15;124.30000000000001;124.30000000000001;124.30000000000001;124.30000000000001
289;-9086;2;1925;15;106.80000000000001;106.80000000000001;106.80000000000001;106.80000000000001
290;-9058;3;1925;15;107.7;107.7;107.7;107.7
291;-9027;4;1925;15;172.9;172.9;172.9;172.9
292;-8997;5;1925;15;156.60000000000002;156.60000000000002;156.60000000000002;156.60000000000002
293;-8966;6;1925;15;186.3;186.3;186.3;186.3
294;-8936;7;1925;15;227.4;227.4;227.4;227.4
295;-8905;8;1925;15;210.60000000000002;210.60000000000002;210.60000000000002;210.60000000000002
296;-8874;9;1925;15;262.40000000000003;262.40000000000003;262.40000000000003;262.40000000000003
297;-8844;10;1925;15;260.2;260.2;260.2;260.2
298;-8813;11;1925;15;414.40000000000003;414.40000000000003;414.40000000000003;414.40000000000003
299;-8783;12;1925;15;148.3;148.3;148.3;148.3
300;-8752;1;1926;15;173.4;173.4;173.4;173.4
301;-8721;2;1926;15;113.10000000000001;113.10000000000001;113.10000000000001;113.10000000000001
302;-8693;3;1926;15;115.2;115.2;115.2;115.2
303;-8662;4;1926;15;123.9;123.9;123.9;123.9
304;-8632;5;1926;15;163.8;163.8;163.8;163.8
305;-8601;6;1926;15;139.8;139.8;139.8;139.8
306;-8571;7;1926;15;253.4;253.4;253.4;253.4
307;-8540;8;1926;15;235.60000000000002;235.60000000000002;235.60000000000002;235.60000000000002
308;-8509;9;1926;15;219.4;219.4;219.4;219.4
309;-8479;10;1926;15;333.20000000000005;333.20000000000005;333.20000000000005;333.20000000000005
310;-8448;11;1926;15;229.60000000000002;229.60000000000002;229.60000000000002;229.60000000000002
311;-8418;12;1926;15;176.0;176.0;176.0;176.0
312;-8387;1;1927;15;175.8;175.8;175.8;175.8
313;-8356;2;1927;15;152.8;152.8;152.8;152.8
314;-8328;3;1927;15;152.6;152.6;152.6;152.6
315;-8297;4;1927;15;190.0;190.0;190.0;190.0
316;-8267;5;1927;15;180.20000000000002;180.20000000000002;180.20000000000002;180.20000000000002
317;-8236;6;1927;15;190.9;190.9;190.9;190.9
318;-8206;7;1927;15;288.0;288.0;288.0;288.0
319;-8175;8;1927;15;209.9;209.9;209.9;209.9
320;-8144;9;1927;15;263.1;263.1;263.1;263.1
321;-8114;10;1927;15;459.1;459.1;459.1;459.1
322;-8083;11;1927;15;333.8;333.8;333.8;333.8
323;-8053;12;1927;15;180.4;180.4;180.4;180.4
324;-8022;1;1928;15;152.1;152.1;152.1;152.1
325;-7991;2;1928;15;100.4;100.4;100.4;100.4
326;-7962;3;1928;15;92.10000000000001;92.10000000000001;92.10000000000001;92.10000000000001
327;-7931;4;1928;15;124.60000000000001;124.60000000000001;124.60000000000001;124.60000000000001
328;-7901;5;1928;15;264.2;264.2;264.2;264.2
329;-7870;6;1928;15;143.1;143.1;143.1;143.1
330;-7840;7;1928;15;222.5;222.5;222.5;222.5
331;-7809;8;1928;15;281.6;281.6;281.6;281.6
332;-7778;9;1928;15;458.5;458.5;458.5;458.5
333;-7748;10;1928;15;279.2;279.2;279.2;279.2
334;-7717;11;1928;15;349.5;349.5;349.5;349.5
335;-7687;12;1928;15;233.70000000000002;233.70000000000002;233.70000000000002;233.70000000000002
336;-7656;1;1929;15;151.3;151.3;151.3;151.3
337;-7625;2;1929;15;94.80000000000001;94.80000000000001;94.80000000000001;94.80000000000001
338;-7597;3;1929;15;110.80000000000001;110.80000000000001;110.80000000000001;110.80000000000001
339;-7566;4;1929;15;136.5;136.5;136.5;136.5
340;-7536;5;1929;15;250.20000000000002;250.20000000000002;250.20000000000002;250.20000000000002
341;-7505;6;1929;15;208.60000000000002;208.60000000000002;208.60000000000002;208.60000000000002
342;-7475;7;1929;15;164.70000000000002;164.70000000000002;164.70000000000002;164.70000000000002
343;-7444;8;1929;15;333.5;333.5;333.5;333.5
344;-7413;9;1929;15;332.5;332.5;332.5;332.5
345;-7383;10;1929;15;294.1;294.1;294.1;294.1
346;-7352;11;1929;15;242.0;242.0;242.0;242.0
347;-7322;12;1929;15;160.0;160.0;160.0;160.0
348;-7291;1;1930;15;273.1;273.1;273.1;273.1
349;-7260;2;1930;15;97.2;97.2;97.2;97.2
350;-7232;3;1930;15;111.5;111.5;111.5;111.5
351;-7201;4;1930;15;137.3;137.3;137.3;137.3
352;-7171;5;1930;15;200.20000000000002;200.20000000000002;200.20000000000002;200.20000000000002
353;-7140;6;1930;15;204.60000000000002;204.60000000000002;204.60000000000002;204.60000000000002
354;-7110;7;1930;15;154.10000000000002;154.10000000000002;154.10000000000002;154.10000000000002
355;-7079;8;1930;15;190.9;190.9;190.9;190.9
356;-7048;9;1930;15;290.3;290.3;290.3;290.3
357;-7018;10;1930;15;265.40000000000003;265.40000000000003;265.40000000000003;265.40000000000003
358;-6987;11;1930;15;334.5;334.5;334.5;334.5
359;-6957;12;1930;15;215.5;215.5;215.5;215.5
360;-6926;1;1931;15;128.0;128.0;128.0;128.0
361;-6895;2;1931;15;201.60000000000002;201.60000000000002;201.60000000000002;201.60000000000002
362;-6867;3;1931;15;111.2;111.2;111.2;111.2
363;-6836;4;1931;15;223.8;223.8;223.8;223.8
364;-6806;5;1931;15;234.8;234.8;234.8;234.8
365;-6775;6;1931;15;311.8;311.8;311.8;311.8
366;-6745;7;1931;15;248.9;248.9;248.9;248.9
367;-6714;8;1931;15;292.6;292.6;292.6;292.6
368;-6683;9;1931;15;434.70000000000005;434.70000000000005;434.70000000000005;434.70000000000005
369;-6653;10;1931;15;351.1;351.1;351.1;351.1
370;-6622;11;1931;15;429.90000000000003;429.90000000000003;429.90000000000003;429.90000000000003
371;-6592;12;1931;15;185.0;185.0;185.0;185.0
372;-6561;1;1932;15;167.8;167.8;167.8;167.8
373;-6530;2;1932;15;69.60000000000001;69.60000000000001;69.60000000000001;69.60000000000001
374;-6501;3;1932;15;101.2;101.2;101.2;101.2
375;-6470;4;1932;15;228.8;228.8;228.8;228.8
376;-6440;5;1932;15;250.10000000000002;250.10000000000002;250.10000000000002;250.10000000000002
377;-6409;6;1932;15;264.0;264.0;264.0;264.0
378;-6379;7;1932;15;322.6;322.6;322.6;322.6
379;-6348;8;1932;15;238.70000000000002;238.70000000000002;238.70000000000002;238.70000000000002
380;-6317;9;1932;15;334.3;334.3;334.3;334.3
381;-6287;10;1932;15;310.90000000000003;310.90000000000003;310.90000000000003;310.90000000000003
382;-6256;11;1932;15;383.1;383.1;383.1;383.1
383;-6226;12;1932;15;178.20000000000002;178.20000000000002;178.20000000000002;178.20000000000002
384;-6195;1;1933;15;166.9;166.9;166.9;166.9
385;-6164;2;1933;15;73.7;73.7;73.7;73.7
386;-6136;3;1933;15;101.9;101.9;101.9;101.9
387;-6105;4;1933;15;154.3;154.3;154.3;154.3
388;-6075;5;1933;15;357.40000000000003;357.40000000000003;357.40000000000003;357.40000000000003
389;-6044;6;1933;15;217.0;217.0;217.0;217.0
390;-6014;7;1933;15;226.3;226.3;226.3;226.3
391;-5983;8;1933;15;254.70000000000002;254.70000000000002;254.70000000000002;254.70000000000002
392;-5952;9;1933;15;480.0;480.0;480.0;480.0
393;-5922;10;1933;15;247.3;247.3;247.3;247.3
394;-5891;11;1933;15;358.0;358.0;358.0;358.0
395;-5861;12;1933;15;167.8;167.8;167.8;167.8
396;-5830;1;1934;15;121.5;121.5;121.5;121.5
397;-5799;2;1934;15;55.5;55.5;55.5;55.5
398;-5771;3;1934;15;113.10000000000001;113.10000000000001;113.10000000000001;113.10000000000001
399;-5740;4;1934;15;123.2;123.2;123.2;123.2
400;-5710;5;1934;15;165.5;165.5;165.5;165.5
401;-5679;6;1934;15;125.2;125.2;125.2;125.2
402;-5649;7;1934;15;241.60000000000002;241.60000000000002;241.60000000000002;241.60000000000002
403;-5618;8;1934;15;262.40000000000003;262.40000000000003;262.40000000000003;262.40000000000003
404;-5587;9;1934;15;217.20000000000002;217.20000000000002;217.20000000000002;217.20000000000002
405;-5557;10;1934;15;192.3;192.3;192.3;192.3
