index;time;month;year;day;Le_Marin;MTQ;Fort-de-France;Saint-Pierre;Le_Trinite
692;3179;9;1958;15;26.548358653879596;25.89243666957464;25.58156415105241;25.1;25.75744683807489
693;3209;10;1958;15;26.152081094210626;25.446497140750626;25.106909632686747;24.6;25.300822921986715
694;3240;11;1958;15;25.700157581747177;25.063798121231095;24.75621866941807;24.3;24.933305226038037
695;3270;12;1958;15;25.064291869027763;24.40001133437996;24.081564151052408;23.6;24.26385832869988
696;3301;1;1959;15;24.36429186902776;23.70001133437996;23.381564151052412;22.900000000000002;23.56385832869988
697;3332;2;1959;15;24.025807839853023;23.297859260160603;22.957600595955423;22.400000000000002;23.15551763668541
698;3360;3;1959;15;24.725041228121036;23.901103466123743;23.508291559224098;22.900000000000002;23.735858313884066
699;3391;4;1959;15;25.34497372569229;24.55731558816956;24.182946077589758;23.6;24.398893720597233
700;3421;5;1959;15;25.31111197519241;24.618377712851224;24.28156415105241;23.8;24.47026981932487
701;3452;6;1959;15;26.12643083610478;25.512436001821122;25.205527706149397;24.8;25.378610511339346
702;3482;7;1959;15;26.072013591781882;25.402709262796442;25.08156415105241;24.6;25.263858328699882
703;3513;8;1959;15;26.520090079318436;25.92001024327692;25.630873187783735;25.200000000000003;25.79634063275121
704;3544;9;1959;15;26.764291869027762;26.100011334379964;25.78156415105241;25.3;25.963858328699878
705;3574;10;1959;15;26.107879304501303;25.46649604964758;25.156218669418074;24.700000000000003;25.33330522603804
706;3605;11;1959;15;25.787332452694258;25.196767551766342;24.9055277061494;24.5;25.07219902071435
707;3635;12;1959;15;25.452081094210627;24.746497140750627;24.406909632686748;23.900000000000002;24.600822921986715
708;3666;1;1960;15;24.65146673997484;24.03298076491521;23.730873187783736;23.3;23.902752123376196
709;3697;2;1960;15;24.54374501722072;23.930282836498723;23.630873187783735;23.200000000000003;23.802752123376195
710;3726;3;1960;15;24.875736032112908;24.156769733972432;23.806909632686747;23.3;24.0072344126117
711;3757;4;1960;15;25.252081094210627;24.54649714075063;24.20690963268675;23.700000000000003;24.400822921986713
712;3787;5;1960;15;26.31111197519241;25.618377712851224;25.281564151052407;24.8;25.470269819324873
713;3818;6;1960;15;26.627811802072557;26.022708171693402;25.730873187783736;25.3;25.896340632751205
714;3848;7;1960;15;26.172013591781884;25.502709262796444;25.18156415105241;24.700000000000003;25.363858328699884
715;3879;8;1960;15;26.476502643844896;25.853525528009293;25.556218669418072;25.1;25.72689373541305
716;3910;9;1960;15;26.27912096030022;25.691890815377512;25.405527706149396;25.0;25.565787530089366
717;3940;10;1960;15;26.264291869027765;25.60001133437996;25.281564151052407;24.8;25.46385832869988
718;3971;11;1960;15;25.987332452694254;25.396767551766345;25.105527706149395;24.700000000000003;25.272199020714353
719;4001;12;1960;15;24.752081094210624;24.046497140750628;23.70690963268675;23.200000000000003;23.900822921986716
720;4032;1;1961;15;24.552081094210624;23.846497140750625;23.506909632686746;23.0;23.700822921986713
721;4063;2;1961;15;24.2180861170989;23.495161331744118;23.157600595955422;22.6;23.35551763668541
722;4091;3;1961;15;24.560906940840454;23.76489025297488;23.382946077589757;22.8;23.605305211222223
723;4122;4;1961;15;25.287946806930044;24.610283927601767;24.28156415105241;23.8;24.47026981932487
724;4152;5;1961;15;25.859802816964745;25.149195069167114;24.806909632686747;24.3;25.000822921986714
725;4183;6;1961;15;26.11621538149121;25.382710353899487;25.032255114321085;24.5;25.231376024648554
726;4213;7;1961;15;25.82842615630834;25.13622454752882;24.806909632686747;24.3;24.994411431361723
727;4244;8;1961;15;26.35657014627364;25.697313405963474;25.381564151052412;24.900000000000002;25.56385832869988
728;4275;9;1961;15;26.59766384988773;25.83677040172595;25.482946077589762;24.900000000000002;25.68607073934725
729;4305;10;1961;15;25.752081094210627;25.04649714075063;24.70690963268675;24.200000000000003;24.900822921986716
730;4336;11;1961;15;25.58794680693004;24.910283927601764;24.581564151052408;24.1;24.77026981932487
731;4366;12;1961;15;24.957184500509427;24.210829781798893;23.85760059595542;23.3;24.061929127310396
732;4397;1;1962;15;24.157184500509427;23.410829781798896;23.05760059595542;22.5;23.261929127310395
733;4428;2;1962;15;23.836637648702386;23.141101283917656;22.806909632686747;22.3;23.000822921986714
734;4456;3;1962;15;24.795668529684164;24.11298185601825;23.78156415105241;23.3;23.97026981932487
735;4487;4;1962;15;25.21932346758645;24.52325444924006;24.181564151052413;23.700000000000003;24.376681309949863
736;4517;5;1962;15;26.409116654988846;25.794589167143524;25.48018222451506;25.1;25.654468899302493
737;4548;6;1962;15;26.439255965157706;25.779466571285873;25.45621866941807;25.0;25.639716716663028
738;4578;7;1962;15;26.396435141416156;25.809737650055112;25.530873187783737;25.1;25.689929142126214
739;4609;8;1962;15;26.420090079318435;25.820010243276915;25.530873187783737;25.1;25.696340632751205
740;4640;9;1962;15;26.38422436659902;25.75622345642578;25.45621866941807;25.0;25.62689373541305
741;4670;10;1962;15;26.307879304501302;25.666496049647584;25.356218669418077;24.900000000000002;25.53330522603804
742;4701;11;1962;15;25.85657014627364;25.197313405963477;24.88156415105241;24.400000000000002;25.06385832869988
743;4731;12;1962;15;25.1078793045013;24.466496049647585;24.156218669418074;23.700000000000003;24.333305226038036
744;4762;1;1963;15;24.95146673997484;24.332980764915206;24.030873187783733;23.6;24.202752123376193
745;4793;2;1963;15;24.393050213228847;23.67461656865003;23.332255114321086;22.8;23.531376024648555
746;4821;3;1963;15;24.668628663594575;23.86758818139137;23.482946077589762;22.900000000000002;23.705305211222225
747;4852;4;1963;15;25.33214859663937;24.59028501870481;24.232255114321084;23.700000000000003;24.43778751527355
748;4882;5;1963;15;25.739870319393493;24.9929829471213;24.632255114321083;24.1;24.837787515273547
749;4913;6;1963;15;26.495668529684167;25.81298185601825;25.481564151052407;25.0;25.670269819324872
750;4943;7;1963;15;26.2483586538796;25.59243666957464;25.281564151052407;24.8;25.45744683807489
751;4974;8;1963;15;27.063677514791976;26.48649495854454;26.205527706149397;25.8;26.365787530089364
752;5005;9;1963;15;26.684224366599018;26.05622345642578;25.75621866941807;25.3;25.926893735413046
753;5035;10;1963;15;26.571399237546096;25.98919288696103;25.705527706149397;25.3;25.865787530089364
754;5066;11;1963;15;26.08733245269426;25.496767551766347;25.205527706149397;24.8;25.372199020714355
755;5096;12;1963;15;25.5078793045013;24.86649604964758;24.556218669418072;24.1;24.733305226038038
756;5127;1;1964;15;24.34374501722072;23.730282836498723;23.43087318778373;23.0;23.60275212337619
757;5158;2;1964;15;24.773884327389574;24.115160240641075;23.806909632686747;23.3;23.987999940736735
758;5187;3;1964;15;25.032148596639367;24.290285018704807;23.932255114321084;23.400000000000002;24.137787515273544
759;5218;4;1964;15;25.17573603211291;24.456769733972433;24.106909632686744;23.6;24.307234412611706
760;5248;5;1964;15;25.995668529684167;25.312981856018254;24.98156415105241;24.5;25.170269819324872
761;5279;6;1964;15;26.164291869027764;25.50001133437996;25.18156415105241;24.700000000000003;25.363858328699884
762;5309;7;1964;15;26.040636931125476;25.389738741158155;25.08156415105241;24.6;25.25744683807489
763;5340;8;1964;15;26.35657014627364;25.697313405963474;25.381564151052412;24.900000000000002;25.56385832869988
764;5371;9;1964;15;26.376502643844894;25.75352552800929;25.45621866941807;25.0;25.62689373541305
765;5401;10;1964;15;25.9078793045013;25.266496049647586;24.95621866941807;24.5;25.133305226038036
766;5432;11;1964;15;25.763677514791976;25.186494958544536;24.9055277061494;24.5;25.065787530089366
767;5462;12;1964;15;23.7713992375461;23.189192886961024;22.905527706149396;22.5;23.065787530089363
768;5493;1;1965;15;23.89566852968417;23.212981856018253;22.881564151052412;22.400000000000002;23.07026981932487
769;5524;2;1965;15;23.781606050143697;23.11785816905756;22.806909632686747;22.3;22.98799994073673
770;5552;3;1965;15;24.836637648702382;24.141101283917656;23.806909632686747;23.3;24.00082292198671
771;5583;4;1965;15;24.85918846272896;24.235678693331693;23.930873187783735;23.5;24.10275212337619
772;5613;5;1965;15;26.14697768791182;25.482164499702357;25.156218669418074;24.700000000000003;25.33971671666303
773;5644;6;1965;15;26.152081094210626;25.446497140750626;25.106909632686747;24.6;25.300822921986715
774;5674;7;1965;15;26.128426156308343;25.43622454752882;25.106909632686747;24.6;25.294411431361723
775;5705;8;1965;15;26.476502643844896;25.853525528009293;25.556218669418072;25.1;25.72689373541305
776;5736;9;1965;15;26.34063693112548;25.689738741158152;25.381564151052412;24.900000000000002;25.55744683807489
777;5766;10;1965;15;26.2078793045013;25.566496049647583;25.25621866941807;24.8;25.433305226038037
778;5797;11;1965;15;26.35657014627364;25.697313405963474;25.381564151052412;24.900000000000002;25.56385832869988
779;5827;12;1965;15;25.4078793045013;24.766496049647582;24.45621866941807;24.0;24.63330522603804
780;5858;1;1966;15;25.127811802072557;24.522708171693402;24.230873187783736;23.8;24.396340632751205
781;5889;2;1966;15;24.282220404379483;23.53137454489298;23.18294607758976;22.6;23.38607073934725
782;5917;3;1966;15;24.78856116116583;24.023800303437184;23.657600595955422;23.1;23.868340617935388
783;5948;4;1966;15;25.308493658737085;24.580012425483005;24.232255114321084;23.700000000000003;24.431376024648557
784;5978;5;1966;15;25.80400460667407;25.029196160270153;24.657600595955422;24.1;24.868340617935388
785;6009;6;1966;15;26.228426156308345;25.53622454752882;25.206909632686745;24.700000000000003;25.394411431361725
786;6039;7;1966;15;26.109260270469072;25.47676821951986;25.18156415105241;24.700000000000003;25.3510353474499
787;6070;8;1966;15;26.281606050143697;25.61785816905756;25.306909632686747;24.8;25.48799994073673
788;6101;9;1966;15;26.260569428696737;25.64595086320397;25.356218669418077;24.900000000000002;25.52048224478806
789;6131;10;1966;15;26.377116998080684;25.667041903844712;25.332255114321082;24.8;25.524964534023567
790;6162;11;1966;15;26.049462777755302;25.30813185338241;24.957600595955423;24.400000000000002;25.1619291273104
791;6192;12;1966;15;25.1078793045013;24.466496049647585;24.156218669418074;23.700000000000003;24.333305226038036
792;6223;1;1967;15;24.357184500509426;23.610829781798895;23.257600595955424;22.700000000000003;23.4619291273104
793;6254;2;1967;15;24.305875342281766;23.541647138114783;23.18294607758976;22.6;23.39248222997224
794;6282;3;1967;15;24.068628663594573;23.267588181391368;22.882946077589757;22.3;23.10530521122222
795;6313;4;1967;15;24.795668529684164;24.11298185601825;23.78156415105241;23.3;23.97026981932487
796;6343;5;1967;15;25.516215381491207;24.78271035389949;24.432255114321084;23.900000000000002;24.631376024648556
797;6374;6;1967;15;26.47201359178188;25.802709262796444;25.481564151052407;25.0;25.66385832869988
798;6404;7;1967;15;26.153462060178402;25.456769310622906;25.132255114321083;24.6;25.318553043398577
799;6435;8;1967;15;26.4129827108001;25.73082869069585;25.406909632686748;24.900000000000002;25.59441143136172
800;6466;9;1967;15;26.20987462470486;25.49028459535528;25.157600595955422;24.6;25.349106146060418
801;6496;10;1967;15;26.177116998080685;25.467041903844713;25.132255114321083;24.6;25.324964534023568
802;6527;11;1967;15;25.73291520837136;25.08704081274167;24.781564151052407;24.3;24.95744683807489
803;6557;12;1967;15;24.6078793045013;23.966496049647585;23.656218669418074;23.200000000000003;23.833305226038036
804;6588;1;1968;15;23.7078793045013;23.066496049647583;22.75621866941807;22.3;22.933305226038037
805;6619;2;1968;15;24.100157581747176;23.4637981212311;23.156218669418074;22.700000000000003;23.33330522603804
806;6648;3;1968;15;24.339255965157705;23.679466571285875;23.356218669418077;22.900000000000002;23.53971671666303
807;6679;4;1968;15;24.839255965157705;24.179466571285875;23.856218669418073;23.400000000000002;24.03971671666303
808;6709;5;1968;15;25.952081094210627;25.246497140750627;24.906909632686748;24.400000000000002;25.100822921986712
809;6740;6;1968;15;26.064291869027763;25.40001133437996;25.08156415105241;24.6;25.263858328699882
810;6770;7;1968;15;26.36429186902776;25.70001133437996;25.381564151052412;24.900000000000002;25.56385832869988
811;6801;8;1968;15;26.50153854771495;25.874070291103376;25.58156415105241;25.1;25.7510353474499
812;6832;9;1968;15;26.49704949565194;25.82325402589053;25.506909632686746;25.0;25.68799994073673
813;6862;10;1968;15;26.220704433554225;25.533526619112337;25.206909632686745;24.700000000000003;25.394411431361725
814;6893;11;1968;15;26.032915208371357;25.387040812741667;25.08156415105241;24.6;25.25744683807489
815;6923;12;1968;15;24.864906223263546;24.11352771021538;23.757600595955424;23.200000000000003;23.9619291273104
816;6954;1;1969;15;24.128426156308343;23.436224547528823;23.106909632686747;22.6;23.294411431361723
817;6985;2;1969;15;24.264291869027762;23.600011334379957;23.281564151052407;22.8;23.463858328699878
818;7013;3;1969;15;25.67573603211291;24.95676973397243;24.606909632686747;24.1;24.807234412611706
819;7044;4;1969;15;26.395668529684166;25.71298185601825;25.381564151052412;24.900000000000002;25.57026981932487
820;7074;5;1969;15;27.011111975192406;26.318377712851223;25.98156415105241;25.5;26.17026981932487
821;7105;6;1969;15;26.828426156308343;26.13622454752882;25.806909632686747;25.3;25.99441143136172
822;7135;7;1969;15;26.528426156308342;25.83622454752882;25.506909632686746;25.0;25.694411431361722
823;7166;8;1969;15;26.73291520837136;26.08704081274167;25.78156415105241;25.3;25.957446838074887
824;7197;9;1969;15;26.548358653879596;25.89243666957464;25.58156415105241;25.1;25.75744683807489
825;7227;10;1969;15;26.320704433554223;25.633526619112335;25.306909632686747;24.8;25.494411431361723
826;7258;11;1969;15;26.3129827108001;25.63082869069585;25.306909632686747;24.8;25.494411431361723
827;7288;12;1969;15;25.220704433554225;24.533526619112337;24.20690963268675;23.700000000000003;24.39441143136172
828;7319;1;1970;15;24.876502643844894;24.25352552800929;23.95621866941807;23.5;24.12689373541305
829;7350;2;1970;15;24.4129827108001;23.73082869069585;23.406909632686748;22.900000000000002;23.594411431361724
830;7378;3;1970;15;24.776350386348696;23.97028610980785;23.582946077589757;23.0;23.80530521122222
831;7409;4;1970;15;25.908493658737086;25.180012425483;24.832255114321082;24.3;25.03137602464856
832;7439;5;1970;15;26.683457754867028;25.95946766238892;25.606909632686747;25.1;25.807234412611702
833;7470;6;1970;15;26.520704433554222;25.833526619112334;25.506909632686746;25.0;25.694411431361722
834;7500;7;1970;15;26.053462060178404;25.356769310622905;25.032255114321085;24.5;25.21855304339858
835;7531;8;1970;15;26.5129827108001;25.83082869069585;25.506909632686746;25.0;25.694411431361722
836;7562;9;1970;15;26.440636931125482;25.789738741158157;25.481564151052407;25.0;25.65744683807489
837;7592;10;1970;15;26.144359371456503;25.44379921233414;25.106909632686747;24.6;25.300822921986715
838;7623;11;1970;15;25.6765026438449;25.05352552800929;24.75621866941807;24.3;24.926893735413046
839;7653;12;1970;15;25.057798854745215;24.224346157634315;23.833637040858434;23.200000000000003;24.059999925920916
840;7684;1;1971;15;24.449462777755304;23.708131853382408;23.35760059595542;22.8;23.5619291273104
841;7715;2;1971;15;23.89366456746463;23.08813294448545;22.708291559224094;22.1;22.929446823259074
842;7743;3;1971;15;24.468628663594572;23.667588181391366;23.28294607758976;22.700000000000003;23.505305211222222
843;7774;4;1971;15;25.00138629021875;24.190830872901937;23.808291559224095;23.200000000000003;24.029446823259075
844;7804;5;1971;15;25.460417171200532;24.662711445002532;24.28294607758976;23.700000000000003;24.49889372059723
845;7835;6;1971;15;26.308493658737085;25.580012425483;25.232255114321084;24.700000000000003;25.431376024648557
846;7865;7;1971;15;26.233529562607146;25.500557188577087;25.157600595955422;24.6;25.35551763668541
